-e	-e	Rq-y
ostroma	ostrom	Nc-sn---s3
ostromgyűrű	ostromgyűrű	Nc-sn
ostromlott	ostromlott	Afp-sn
ostromlott	ostromol	Vmis3s---n
ostromlók	ostromló	Afp-pn
ostromolnák	ostromol	Vmcp3p---y
ostromállapot	ostromállapot	Nc-sn
ostrománál	ostrom	Nc-s3---s3
oszlanak	oszlik	Vmip3p---n
oszlatta	oszlat	Vmis3s---y
oszlik	oszlik	Vmip3s---n
oszlop	oszlop	Nc-sn
oszlopai	oszlop	Nc-pn---s3
oszlopait	oszlop	Nc-pa---s3
oszlopfők	oszlopfő	Nc-pn
oszlopfőkre	oszlopfő	Nc-ps
oszlophoz	oszlop	Nc-st
oszlopok	oszlop	Nc-pn
oszlopokba	oszlop	Nc-px
oszlopos	oszlopos	Afp-sn
oszlopra	oszlop	Nc-ss
oszlopával	oszlop	Nc-si---s3
oszlott	oszlik	Vmis3s---n
oszlott	oszlott	Afp-sn
oszlottak	oszlik	Vmis3p---n
oszlottak	oszlott	Afp-pn
oszolva	oszolva	Rv
osztalékigényeit	osztalékigény	Nc-pa---s3
osztanak	oszt	Vmip3p---n
osztani	oszt	Vmn
osztaniuk	oszt	Vmnp3p
osztatta	osztat	Vmis3s---y
oszthatom	oszthat	Vmip1s---y
osztható	osztható	Afp-sn
osztja	oszt	Vmip3s---y
osztják	oszt	Vmip3p---y
osztják	osztják	Nc-sn
osztogatni	osztogat	Vmn
osztott	oszt	Vmis3s---n
osztott	osztott	Afp-sn
osztotta	oszt	Vmis3s---y
osztottak	oszt	Vmis3p---n
osztottak	osztott	Afp-pn
osztottam	oszt	Vmis1s---n
osztottam	oszt	Vmis1s---y
osztottam	osztott	Afp-sn----s1
osztották	oszt	Vmis3p---y
osztozkodó	osztozkodó	Afp-sn
osztoznak	osztozik	Vmip3p---n
osztrák	osztrák	Nc-sn
osztrák-magyar	osztrák-magyar	Afp-sn
osztrákok	osztrák	Nc-pn
osztrákokkal	osztrák	Nc-pi
osztva	osztva	Rv
osztály	osztály	Nc-sn
osztálya	osztály	Nc-sn---s3
osztályainak	osztály	Nc-pd---s3
osztályba	osztály	Nc-sx
osztályfőnöke	osztályfőnök	Nc-sn---s3
osztályfőnökhöz	osztályfőn	Nc-pt
osztályfőnökhöz	osztályfőnök	Nc-st
osztályhoz	osztály	Nc-st
osztályidegen	osztályideg	Nc-sp
osztályidegen	osztályidegen	Nc-sn
osztálykiváltság	osztálykiváltság	Nc-sn
osztálykiváltság-nak	osztálykiváltság	Nc-sn
osztálykülönbségek	osztálykülönbség	Nc-pn
osztálykülönbségekre	osztálykülönbség	Nc-ps
osztálylétszámok	osztálylétszám	Nc-pn
osztálynak	osztály	Nc-sd
osztályok	osztály	Nc-pn
osztályokat	osztály	Nc-pa
osztályokban	osztály	Nc-p2
osztályokkal	osztály	Nc-pi
osztályokra	osztály	Nc-ps
osztályom	osztály	Nc-sn---s1
osztályon	osztály	Nc-sp
osztályozták	osztályoz	Vmis3p---y
osztályozási	osztályozási	Afp-sn
osztályról	osztály	Nc-sh
osztályszempontok	osztályszempont	Nc-pn
osztályt	osztály	Nc-sa
osztálytudatos	osztálytudatos	Afp-sn
osztálytársaim	osztálytárs	Nc-pn---s1
osztálytársak	osztálytárs	Nc-pn
osztályvezető	osztályvezető	Afp-sn
osztályvezető	osztályvezető	Nc-sn
osztályvezetője	osztályvezető	Afp-sn----s3
osztályvezetője	osztályvezető	Nc-sn---s3
osztályvezetők	osztályvezető	Afp-pn
osztályvezetők	osztályvezető	Nc-pn
osztályvezetővel	osztályvezető	Afp-si
osztályvezetővel	osztályvezető	Nc-si
osztályán	osztály	Nc-sp---s3
osztályának	osztály	Nc-sd---s3
osztályát	osztály	Nc-sa---s3
osztályú	osztályú	Afp-sn
osztás	osztás	Nc-sn
osztása	osztás	Nc-sn---s3
osztásainál	osztás	Nc-p3---s3
osztáshoz	osztás	Nc-st
osztásnál	osztás	Nc-s3
osztásra	osztás	Nc-ss
osztást	osztás	Nc-sa
otrombább	otromba	Afc-sn
ott	ott	Rg
ottani	ottani	Nc-sn
ottfelejtették	ottfelejt	Vmis3p---y
ottfelejtették	ottfelejtet	Vmis3p---y
otthagyja	otthagy	Vmip3s---y
otthagyja	otthagy	Vmmp3s---y
otthagyni	otthagy	Vmn
otthagyott	otthagy	Vmis3s---n
otthagyott	otthagyott	Afp-sn
otthagyta	otthagy	Vmis3s---y
otthagytuk	otthagy	Vmis1p---y
otthagyták	otthagy	Vmis3p---y
otthagyva	otthagyva	Rv
otthon	otthon	Nc-sn
otthonai	otthon	Nc-pn---s3
otthonban	otthon	Nc-s2
otthonhoz	otthon	Nc-st
otthoni	otthoni	Afp-sn
otthonitól	otthoni	Afp-sb
otthonmaradó	otthonmaradó	Afp-sn
otthonok	otthon	Nc-pn
otthonokkal	otthon	Nc-pi
otthonos	otthonos	Afp-sn
otthonosak	otthonos	Afp-pn
otthonról	otthon	Nc-sh
otthont	otthon	Nc-sa
otthontalan	otthontalan	Afp-sn
otthonuk	otthon	Nc-sn---p3
otthonukba	otthon	Nc-sx---p3
otthonukban	otthon	Nc-s2---p3
otthonába	otthon	Nc-sx---s3
otthonában	otthon	Nc-s2---s3
ottmaradt	ottmaradt	Afp-sn
ottmaradtak	ottmaradt	Afp-pn
ottmaradtam	ottmaradt	Afp-sn----s1
ottrekedt	ottreked	Vmis3s---n
ottrekedt	ottrekedt	Afp-sn
overall	overall	Nc-sn
overall-egyenruhába	overall-egyenruha	Nc-sx
overallja	overall	Nc-sn---s3
overalljukat	overall	Nc-sa---p3
overallján	overall	Nc-sp---s3
overallját	overall	Nc-sa---s3
overallnak	overall	Nc-sd
overallos	overallos	Afp-sn
overallt	overall	Nc-sa
ovális	ovális	Afp-sn
oxigén	oxigén	Nc-sn
p.	p.	Y
pacal	pacal	Nc-sn
pacallá	pacal	Nc-sy
pacalos	pacalos	Afp-sn
pacsirta	pacsirta	Nc-sn
pad	pad	Nc-sn
padján	pad	Nc-sp---s3
padláson	padlás	Nc-sp
padlástéri	padlástéri	Afp-sn
padlását	padlás	Nc-sa---s3
padló	padló	Nc-sn
padlója	padló	Nc-sn---s3
padlóján	padló	Nc-sp---s3
padlón	padló	Nc-sp
padlónkba	padló	Nc-sx---p1
padlóra	padló	Nc-ss
padlóról	padló	Nc-sh
padlót	padló	Nc-sa
padokkal	pad	Nc-pi
padon	pad	Nc-sp
padra	pad	Nc-ss
padról	pad	Nc-sh
pajkos	pajkos	Afp-sn
pajkos	pajkos	Nc-sn
pajkost	pajkos	Afp-sa
pajkost	pajkos	Nc-sa
pajzs	pajzs	Nc-sn
pakett	pakett	Nc-sn
pakettból	pakett	Nc-se
paketteket	pakett	Nc-pa
pakettet	pakett	Nc-sa
pakettjának	pakett	Nc-sd---s3
pakettre	pakett	Nc-ss
pakisztáni	pakisztáni	Afp-sn
pakli	pakli	Nc-sn
pakolás	pakolás	Nc-sn
paksaméta	paksaméta	Nc-sn
paksi	paksi	Afp-sn
palack	palack	Nc-sn
palackban	palack	Nc-s2
palackból	palack	Nc-se
palackja	palack	Nc-sn---s3
palackkal	palack	Nc-si
palackot	palack	Nc-sa
palacsintát	palacsinta	Nc-sa
palaszínű	palaszínű	Afp-sn
palaszürke	palaszürke	Afp-sn
palaszürke	palaszürke	Nc-sn
palatáblát	palatábla	Nc-sa
palesztin	palesztin	Nc-sn
palesztinok	palesztin	Nc-pn
palesztint	palesztin	Nc-sa
paletta	paletta	Nc-sn
palettáján	paletta	Nc-sp---s3
pali	pali	Nc-sn
palik	pali	Nc-pn
palimpszeszt	palimpszesz	Nc-sa
pallos	pallos	Nc-sn
pallókat	palló	Nc-pa
palota	palota	Nc-sn
palotáinak	palota	Nc-pd---s3
palotája	palota	Nc-sn---s3
palotájának	palota	Nc-sd---s3
palást	palás	Afp-sa
palást	palást	Nc-sn
pamfletekben	pamflet	Nc-p2
pamfletet	pamflet	Nc-sa
pamlagot	pamlag	Nc-sa
panasz	panasz	Nc-sn
panaszairól	panasz	Nc-ph---s3
panaszkodhat	panaszkodhat	Vmip3s---n
panaszkodik	panaszkodik	Vmip3s---n
panaszkodjunk	panaszkodik	Vmmp1p---n
panaszkodnak	panaszkodik	Vmip3p---n
panaszkodott	panaszkodik	Vmis3s---n
panaszkodott	panaszkodott	Afp-sn
panaszkodtak	panaszkodik	Vmis3p---n
panaszkodások	panaszkodás	Nc-pn
panaszkodó	panaszkodó	Afp-sn
panaszok	panasz	Nc-pn
panaszokba	panasz	Nc-px
panaszos	panaszos	Afp-sn
panaszos	panaszos	Nc-sn
panaszra	panasz	Nc-ss
panaszt	panasz	Nc-sa
panaszával	panasz	Nc-si---s3
panelek	panel	Nc-pn
panelházak	panelház	Nc-pn
panelházakban	panelház	Nc-p2
panelházaknak	panelház	Nc-pd
panellakásokban	panellakás	Nc-p2
pannonhalma	pannonhalma	Nc-sn
pannonhalma	pannonhalom	Nc-sn---s3
pannonhalmi	pannonhalmi	Afp-sn
pannonhalmára	pannonhalma	Nc-ss
pannonhalmára	pannonhalom	Nc-ss---s3
panorámás	panorámás	Afp-sn
pantallóm	pantalló	Nc-sn---s1
panzióit	panzió	Nc-pa---s3
panzióit	panziói	Afp-sa
panzióst	panziós	Afp-sa
panzióst	panziós	Nc-sa
pap	pap	Nc-sn
pap-politikus	pap-politikus	Afp-sn
pap-politikus	pap-politikus	Nc-sn
papa	papa	Nc-sn
papi	papi	Afp-sn
papi	papi	Nc-sn
papirosba	papiros	Nc-sx
papjai	pap	Nc-pn---s3
papnak	pap	Nc-sd
papok	pap	Nc-pn
paprika	paprika	Nc-sn
paprika-salátát	paprika-saláta	Nc-sa
paprikajancsiszerű	paprikajancsiszerű	Afp-sn
paprikapiros	paprikapiros	Afp-sn
paprikavörös	paprikavörös	Afp-sn
paprikából	paprika	Nc-se
paprikás	paprikás	Afp-sn
paprikást	paprikás	Afp-sa
paprikát	paprika	Nc-sa
paprikával	paprika	Nc-si
papám	papa	Nc-sn---s1
papé	pap	Nc-sn-----s
papír	papír	Nc-sn
papírboltban	papírbolt	Nc-s2
papírból	papír	Nc-se
papírcsomag	papírcsomag	Nc-sn
papírcsomagok	papírcsomag	Nc-pn
papírcsíptetővel	papírcsíptető	Afp-si
papírcsíptetővel	papírcsíptető	Nc-si
papírdarab	papírdarab	Nc-sn
papírdarabbal	papírdarab	Nc-si
papírdarabka	papírdarabka	Nc-sn
papírdarabkára	papírdarabka	Nc-ss
papírdarabkát	papírdarabka	Nc-sa
papírdarabkával	papírdarabka	Nc-si
papírdarabot	papírdarab	Nc-sa
papírdarabról	papírdarab	Nc-sh
papírforma	papírforma	Afp-sn
papírforma	papírforma	Nc-sn
papírfoszlányokat	papírfoszlány	Nc-pa
papírhengerek	papírhenger	Nc-pn
papírhengert	papírhenger	Nc-sa
papírhengerözön	papírhengerözön	Nc-sn
papírhulladék	papírhulladék	Nc-sn
papírhulladékokkal	papírhulladék	Nc-pi
papírja	papír	Nc-sn---s3
papírjai	papír	Nc-pn---s3
papírjaiból	papír	Nc-pe---s3
papírjaidat	papír	Nc-pa---s2
papírjaimat	papír	Nc-pa---s1
papírjainak	papír	Nc-pd---s3
papírjainkat	papír	Nc-pa---p1
papírjaira	papír	Nc-ps---s3
papírjuk	papír	Nc-sn---p3
papírjáról	papír	Nc-sh---s3
papírjáért	papír	Nc-sc---s3
papírkosár	papírkosár	Nc-sn
papírlapjára	papírlap	Nc-ss---s3
papírlapot	papírlap	Nc-sa
papírmaséból	papírmasé	Nc-se
papírmunkát	papírmunka	Nc-sa
papírnyomó	papírnyomó	Afp-sn
papírnyomó	papírnyomó	Nc-sn
papírnyomóba	papírnyomó	Afp-sx
papírnyomóba	papírnyomó	Nc-sx
papírnyomóban	papírnyomó	Afp-s2
papírnyomóban	papírnyomó	Nc-s2
papírnyomónak	papírnyomó	Afp-sd
papírnyomónak	papírnyomó	Nc-sd
papírnyomót	papírnyomó	Afp-sa
papírnyomót	papírnyomó	Nc-sa
papírnyomóval	papírnyomó	Afp-si
papírnyomóval	papírnyomó	Nc-si
papírok	papír	Nc-pn
papírokat	papír	Nc-pa
papírokkal	papír	Nc-pi
papírokra	papír	Nc-ps
papíron	papír	Nc-sp
papírra	papír	Nc-ss
papírral	papír	Nc-si
papírrongy	papírrongy	Nc-sn
papírruhát	papírruha	Nc-sa
papírszalagját	papírszalag	Nc-sa---s3
papírszalagot	papírszalag	Nc-sa
papírt	papír	Nc-sa
papírt	papírt	Afp-sn
papírunk	papír	Nc-sn---p1
paradicsom	paradicsom	Nc-sn
paradicsomtonnák	paradicsomtonna	Nc-pn
paraffinlámpa	paraffinlámpa	Nc-sn
paragrafus	paragrafus	Nc-sn
paramétereit	paraméter	Nc-pa---s3
parancs	parancs	Nc-sn
parancsa	parancs	Nc-sn---s3
parancsait	parancs	Nc-pa---s3
parancsaival	parancs	Nc-pi---s3
parancsnok	parancsnok	Nc-sn
parancsnoka	parancsnok	Nc-sn---s3
parancsnokaik	parancsnok	Nc-pn---p3
parancsnokhoz	parancsnok	Nc-st
parancsnoki	parancsnoki	Afp-sn
parancsnoklását	parancsnoklás	Nc-sa---s3
parancsnokok	parancsnok	Nc-pn
parancsnokság	parancsnokság	Nc-sn
parancsnoksága	parancsnokság	Nc-sn---s3
parancsnokságnak	parancsnokság	Nc-sd
parancsnokságtól	parancsnokság	Nc-sb
parancsnokságunknál	parancsnokság	Nc-s3---p1
parancsnokságának	parancsnokság	Nc-sd---s3
parancsokat	parancs	Nc-pa
parancsoknak	parancs	Nc-pd
parancsol	parancsol	Vmip3s---n
parancsolhassanak	parancsolhat	Vmmp3p---n
parancsolj	parancsol	Vmmp2s---n
parancsolnak	parancsol	Vmip3p---n
parancsolni	parancsol	Vmn
parancsolnánk	parancsol	Vmcp1p---n
parancsolnánk	parancsol	Vmcp1p---y
parancsolt	parancsol	Vmis3s---n
parancsolt	parancsolt	Afp-sn
parancsolta	parancsol	Vmis3s---y
parancsoltok	parancsol	Vmip2p---n
parancsoló	parancsoló	Afp-sn
parancsoló	parancsoló	Nc-sn
parancsot	parancs	Nc-sa
paraszt	paraszt	Afp-sn
paraszt	paraszt	Nc-sn
paraszt-értelmiségünk	paraszt-értelmiség	Nc-sn---p1
parasztasszonyok	parasztasszony	Nc-pn
parasztcsalád	parasztcsalád	Nc-sn
parasztcsavargóknak	parasztcsavargó	Afp-pd
parasztcsavargóknak	parasztcsavargó	Nc-pd
parasztcsipke	parasztcsipke	Nc-sn
parasztember	parasztember	Nc-sn
parasztfestők	parasztfestő	Afp-pn
parasztfestők	parasztfestő	Nc-pn
parasztfiúnak	parasztfiú	Nc-sd
parasztfiút	parasztfiú	Nc-sa
parasztgazdám	parasztgazda	Nc-sn---s1
parasztgazdának	parasztgazda	Nc-sd
parasztgyerekeket	parasztgyerek	Nc-pa
paraszti	paraszti	Afp-sn
parasztlegényekhez	parasztlegény	Nc-pt
parasztlányok	parasztlány	Nc-pn
parasztnak	paraszt	Afp-sd
parasztnak	paraszt	Nc-sd
parasztnemzetes	parasztnemzetes	Afp-sn
parasztnál	paraszt	Afp-s3
parasztnál	paraszt	Nc-s3
parasztok	paraszt	Afp-pn
parasztok	paraszt	Nc-pn
parasztokat	paraszt	Afp-pa
parasztokat	paraszt	Nc-pa
parasztokkal	paraszt	Afp-pi
parasztokkal	paraszt	Nc-pi
parasztoknak	paraszt	Afp-pd
parasztoknak	paraszt	Nc-pd
parasztokra	paraszt	Afp-ps
parasztokra	paraszt	Nc-ps
parasztoktól	paraszt	Afp-pb
parasztoktól	paraszt	Nc-pb
parasztot	paraszt	Afp-sa
parasztot	paraszt	Nc-sa
parasztpárt	parasztpárt	Nc-sn
parasztszármazású	parasztszármazású	Afp-sn
parasztság	parasztság	Nc-sn
parazitákat	parazita	Nc-pa
parfümje	parfüm	Nc-sn---s3
parfümöm	parfüm	Nc-sn---s1
paripa	paripa	Nc-sn
park	park	Nc-sn
parkba	park	Nc-sx
parkban	park	Nc-s2
parkok	park	Nc-pn
parkokban	park	Nc-p2
parkoló	parkoló	Afp-sn
parkolóban	parkoló	Afp-s2
parkolójában	parkoló	Afp-s2----s3
parkolók	parkoló	Afp-pn
parkolót	parkoló	Afp-sa
parkon	park	Nc-sp
parkosításával	parkosítás	Nc-si---s3
parkot	park	Nc-sa
parlagon	parlag	Nc-sp
parlament	parlament	Nc-sn
parlamentarizmussal	parlamentarizmus	Nc-si
parlamentbe	parlament	Nc-sx
parlamentben	parlament	Nc-s2
parlamentből	parlament	Nc-se
parlamentet	parlament	Nc-sa
parlamenti	parlamenti	Afp-sn
parlamentje	parlament	Nc-sn---s3
parlamentnek	parlament	Nc-sd
part	part	Nc-sn
parti	parti	Afp-sn
parti	parti	Nc-sn
partijában	parti	Afp-s2----s3
partijában	parti	Nc-s2---s3
partikkal	parti	Nc-pi
partikulák	partikula	Nc-pn
partizánháború	partizánháború	Nc-sn
partja	part	Nc-sn---s3
partjai	part	Nc-pn---s3
partján	part	Nc-sp---s3
partjára	part	Nc-ss---s3
partjáról	part	Nc-sh---s3
partner	partner	Nc-sn
partnercsere	partnercsere	Nc-sn
partnere	partner	Nc-sn---s3
partnerei	partner	Nc-pn---s3
partnereiket	partner	Nc-pa---p3
partnereiktől	partner	Nc-pb---p3
partnereinek	partner	Nc-pd---s3
partnereit	partner	Nc-pa---s3
partnerek	partner	Nc-pn
partnereket	partner	Nc-pa
partneri	partneri	Afp-sn
partnerként	partner	Rg
partnerrel	partner	Nc-si
partnerének	partner	Nc-sd-----s
partnerének	partner	Nc-sd---s3
partnerének	partnerének	Nc-sn
partról	part	Nc-sh
parttalan	parttalan	Afp-sn
partvidékre	partvidék	Nc-ss
parádékat	parádé	Nc-pa
parádésan	parádés	Afp-sw
parányi	parányi	Afp-sn
paráználkodni	paráználkodik	Vmn
paráználkodást	paráználkodás	Nc-sa
paréjjal	paréj	Nc-si
paréjt	paréj	Nc-sa
paródiája	paródia	Nc-sn---s3
pasaréti	pasaréti	Afp-sn
pascal	pascal	Nc-sn
passzióból	passzió	Nc-se
passzióidat	passzió	Nc-pa---s2
passzus	passzus	Nc-sn
passzust	passzus	Nc-sa
passzív	passzív	Afp-sn
pasztelljeire	pasztell	Nc-ps---s3
pasztelljén	pasztell	Nc-sp---s3
pasztellszínekben	pasztellszín	Nc-p2
paszulyra	paszuly	Nc-ss
paszulyt	paszuly	Nc-sa
patakhegyi	patakhegyi	Afp-sn
pataki	pataki	Afp-sn
patakról	patak	Nc-sh
patakzó	patakzó	Afp-sn
patentkapcsot	patentkapocs	Nc-sa
paternalista	paternalista	Nc-sn
patika	patika	Nc-sn
patikai	patikai	Afp-sn
patikus	patikus	Nc-sn
patikusjövő	patikusjövő	Afp-sn
patikusnak	patikus	Nc-sd
patikusné	patikusné	Nc-sn
patikusok	patikus	Nc-pn
patikusságot	patikusság	Nc-sa
patikust	patikus	Nc-sa
patikába	patika	Nc-sx
patikában	patika	Nc-s2
patikából	patika	Nc-se
patinás	patinás	Afp-sn
patkány	patkány	Nc-sn
patkányfészkeket	patkányfészek	Nc-pa
patkánylyukakra	patkánylyuk	Nc-ps
patkányok	patkány	Nc-pn
patkányokat	patkány	Nc-pa
patkányokkal	patkány	Nc-pi
patkányoktól	patkány	Nc-pb
patkányt	patkány	Nc-sa
patkánytól	patkány	Nc-sb
patkókat	patkó	Nc-pa
patkót	patkó	Nc-sa
patriotizmus	patriotizmus	Nc-sn
patrónusává	patrónus	Nc-sy---s3
pattant	pattan	Vmis3s---n
pattant	pattant	Afp-sn
pattant	pattant	Vmip3s---n
patthelyzet	patthelyzet	Nc-sn
pattog	pattog	Vmip3s---n
pattogatott	pattogat	Vmis3s---n
pattogatott	pattogatott	Afp-sn
pattogó	pattogó	Afp-sn
pattogó	pattogó	Nc-sn
patáin	pata	Nc-pp---s3
pauszpapírba	pauszpapír	Nc-sx
pavilon	pavilon	Nc-sn
pavilonrendszer	pavilonrendszer	Nc-sn
pazarlás	pazarlás	Nc-sn
pazarló	pazarló	Afp-sn
pazarló	pazarló	Nc-sn
pazaroljon	pazarol	Vmmp3s---n
pazarolni	pazarol	Vmn
pecsét	pecsét	Nc-sn
pecsétek	pecsét	Nc-pn
pecsételte	pecsétel	Vmis3s---y
pecsétje	pecsét	Nc-sn---s3
pecsétjeiken	pecsét	Nc-pp---p3
pecsétjéről	pecsét	Nc-sh---s3
pedagógiai	pedagógiai	Afp-sn
pedagógiából	pedagógia	Nc-se
pedagógus	pedagógus	Nc-sn
pedagógusbérek	pedagógusbér	Nc-pn
pedagógusképzés	pedagógusképzés	Nc-sn
pedagógusok	pedagógus	Nc-pn
pedig	pedig	Ccsw
pedálgombról	pedálgomb	Nc-sh
pedáns	pedáns	Afp-sn
pelenkákat	pelenka	Nc-pa
pelikán	pelikán	Nc-sn
pellengérről	pellengér	Nc-sh
pemzlinyi	pemzlinyi	Afp-sn
penge	penge	Nc-sn
pengehiány	pengehiány	Nc-sn
pengéje	penge	Nc-sn---s3
pengéjű	pengéjű	Afp-sn
pengét	penge	Nc-sa
pengő	pengő	Afp-sn
pengő	pengő	Nc-sn
pengőből	pengő	Afp-se
pengőből	pengő	Nc-se
pengőik	pengő	Afp-pn----p3
pengőik	pengő	Nc-pn---p3
pengőjét	pengő	Afp-sa----s3
pengőjét	pengő	Nc-sa---s3
pengőjükből	pengő	Afp-se----p3
pengőjükből	pengő	Nc-se---p3
pengőt	pengő	Afp-sa
pengőt	pengő	Nc-sa
penny	penny	Nc-sn
pentaton	pentaton	Nc-sn
penészes	penészes	Afp-sn
pepita	pepita	Afp-sn
per	per	Nc-sn
perbe	per	Nc-sx
perben	per	Nc-s2
perc	perc	Nc-sn
percbe	perc	Nc-sx
percben	perc	Nc-s2
perccel	perc	Nc-si
perce	perc	Nc-sn---s3
perceiben	perc	Nc-p2---s3
perceik	perc	Nc-pn---p3
perceire	perc	Nc-ps---s3
percek	perc	Nc-pn
percekben	perc	Nc-p2
perceket	perc	Nc-pa
percen	perc	Nc-sp
percen	percen	Vmip3s---n
percenként	perc	Nc-su
percenként	percenként	Rg
perces	perces	Afp-sn
percet	perc	Nc-sa
percet	percet	Nc-sn
percig	perc	Nc-s9
perckor	perc	Nc-sm
perckor	perckor	Nc-sn
percnyi	percnyi	Afp-sn
percre	perc	Nc-ss
percről	perc	Nc-sh
percéig	perc	Nc-s9-----s
percéig	perc	Nc-s9---s3
percüket	perc	Nc-sa---p3
percünk	perc	Nc-sn---p1
pere	per	Nc-sn---s3
perec	perec	Nc-sn
perecért	perec	Nc-sc
perecért	perecért	Afp-sn
perecéért	perec	Nc-sc-----s
perecéért	perec	Nc-sc---s3
pereg	pereg	Vmip3s---n
pereli	perel	Vmip3s---y
pereme	perem	Nc-sn---s3
pereméhez	per	Nc-st---s1s
pereméhez	perem	Nc-st-----s
pereméhez	perem	Nc-st---s3
pereméhez	pereméhez	Vmip3s---n
peremén	per	Nc-sp---s1s
peremén	perem	Nc-sp-----s
peremén	perem	Nc-sp---s3
peren	per	Nc-sp
pereskedése	pereskedés	Nc-sn---s3
pergésével	pergés	Nc-si-----s
pergésével	pergés	Nc-si---s3
pergős	pergős	Afp-sn
perifériára	periféria	Nc-ss
periodikusan	periodikus	Afp-sw
periratban	perirat	Nc-s2
perkupa	perkupa	Nc-sn
perkupai	perkupai	Afp-sn
perkupaiaknak	perkupai	Afp-pd
perkupán	perkupa	Nc-sp
perkupának	perkupa	Nc-sd
pernye	pernye	Nc-sn
pernyével	pernye	Nc-si
peron	peron	Nc-sn
peronjáról	peron	Nc-sh---s3
perpatvar	perpatvar	Nc-sn
perre	per	Nc-ss
perrel	per	Nc-si
perspektíva	perspektíva	Nc-sn
persze	persze	Io
pert	per	Nc-sa
perverz	perverz	Afp-sn
perzselte	perzsel	Vmis3s---y
perújrafelvétel	perújrafelvétel	Nc-sn
perújítási	perújítási	Afp-sn
perük	per	Nc-sn---p3
pesszimista	pesszimista	Afp-sn
pest	pest	Nc-sn
pesten	pest	Nc-sp
pesterzsébeti	pesterzsébeti	Afp-sn
pesti	pesti	Afp-sn
pete	pete	Nc-sn
petrencékben	petrence	Nc-p2
petrencéket	petrence	Nc-pa
petróleumfőző	petróleumfőző	Afp-sn
petróleumfőző	petróleumfőző	Nc-sn
petróleumfőzőre	petróleumfőző	Nc-ss
petróleumfőzőt	petróleumfőző	Afp-sa
petróleumfőzőt	petróleumfőző	Nc-sa
pettyes	pettyes	Afp-sn
petyhedt	petyhedt	Nc-sn
pezsgőt	pezsgő	Afp-sa
pezsgőt	pezsgő	Nc-sa
piac	piac	Nc-sn
piaca	piac	Nc-sn---s3
piacbővülést	piacbővülés	Nc-sa
piacfeltérképező	piacfeltérképező	Afp-sn
piacfigyelés	piacfigyelés	Nc-sn
piacgazdaság	piacgazdaság	Nc-sn
piacgazdasága	piacgazdaság	Nc-sn---s3
piacgazdasághoz	piacgazdaság	Nc-st
piacgazdasági	piacgazdasági	Afp-sn
piacgazdaságról	piacgazdaság	Nc-sh
piachoz	piac	Nc-st
piaci	piaci	Afp-sn
piacképes	piacképes	Afp-sn
piaclehetőségek	piaclehetőség	Nc-pn
piacnapon	piacnap	Nc-sp
piacokért	piac	Nc-pc
piacon	piac	Nc-sp
piacorientáció	piacorientáció	Nc-sn
piacot	piac	Nc-sa
piacra	piac	Nc-ss
piacról	piac	Nc-sh
piacszerzést	piacszerzés	Nc-sa
piacán	piac	Nc-sp---s3
piacépítés	piacépítés	Nc-sn
picike	picike	Nc-sn
piciny	piciny	Afp-sn
pihen	pihen	Vmip3s---n
pihenhessen	pihenhet	Vmmp3s---n
pihenhessenek	pihenhet	Vmmp3p---n
pihenhet	pihenhet	Vmip3s---n
pihenj	pihen	Vmmp2s---n
pihenj	pihenj	Nc-sn
pihenni	pihen	Vmn
pihent	pihen	Vmis3s---n
pihent	pihent	Afp-sn
pihentebben	pihent	Afc-s2
pihentebben	pihent	Afc-sp
pihentebben	pihent	Afc-sw
pihenteti	pihentet	Vmip3s---y
pihenve	pihenve	Rv
pihenés	pihenés	Nc-sn
pihenéshez	pihenés	Nc-st
pihenésre	pihenés	Nc-ss
pihenésért	pihenés	Nc-sc
pihenésért	pihenésért	Afp-sn
pihenő	pihenő	Afp-sn
pihenő	pihenő	Nc-sn
pihenőszékével	pihenőszék	Nc-si-----s
pihenőszékével	pihenőszék	Nc-si---s3
pihenőt	pihenő	Afp-sa
pihenőt	pihenő	Nc-sa
pikantériája	pikantéria	Nc-sn---s3
pikkelyes	pikkelyes	Afp-sn
piknik	piknik	Nc-sn
piktor	piktor	Nc-sn
pillanat	pillanat	Nc-sn
pillanata	pillanat	Nc-sn---s3
pillanataiban	pillanat	Nc-p2---s3
pillanatban	pillanat	Nc-s2
pillanatig	pillanat	Nc-s9
pillanatnyi	pillanatnyi	Afp-sn
pillanatnyilag	pillanatnyilag	Rg
pillanatnál	pillanat	Nc-s3
pillanatok	pillanat	Nc-pn
pillanatokban	pillanat	Nc-p2
pillanatokra	pillanat	Nc-ps
pillanatonként	pillanat	Nc-su
pillanatot	pillanat	Nc-sa
pillanatra	pillanat	Nc-ss
pillanatról	pillanat	Nc-sh
pillanattól	pillanat	Nc-sb
pillanatában	pillanat	Nc-s2---s3
pillanatától	pillanat	Nc-sb---s3
pillangó	pillangó	Nc-sn
pillantani	pillant	Vmn
pillantgattak	pillantgat	Vmis3p---n
pillanthatta	pillanthat	Vmis3s---y
pillanthattak	pillanthat	Vmis3p---n
pillantott	pillant	Vmis3s---n
pillantott	pillantott	Afp-sn
pillantotta	pillant	Vmis3s---y
pillantás	pillantás	Nc-sn
pillantása	pillantás	Nc-sn---s3
pillantásban	pillantás	Nc-s2
pillantásnak	pillantás	Nc-sd
